,emqw,single_ensemble,hnn_ensemble,mc_dropout,concrete_dropout,vanilla,vanilla.w,sqr,interval
grid,0.033289795918367344,0.0767938775510204,0.1306795918367347,*0.02030408163265306,0.0240734693877551,0.06140408163265306,0.045377551020408156,0.04548367346938775,0.05318775510204081
naval,*0.028655386746235988,0.029738190709882612,0.15622290809914247,0.17483563178099057,0.11023229568325026,0.14455118285269702,0.11966303873874644,0.15225584159093045,0.12358598873147919
appliance,*0.019915575249608332,0.03369509263041421,0.08396496434905353,0.21993505788431408,0.0604619163094678,0.045791864655667175,0.028833327301024288,0.05482779481186952,0.023805690708003497
election,0.2221490752919324,*0.08616962959820103,0.236155307583879,0.21904699676128248,0.21341375912804486,0.32632784118498404,0.2987161667161667,0.3464676293247722,0.30485798200083913
steel,0.08810367160562856,*0.08284199981362408,0.22114958997297554,0.28878755474792656,0.22676416456993756,0.16794939893765726,0.145768544404063,0.1865006523157208,0.16754090951449072
facebook1,*0.03026986618823353,0.15993670728364603,0.23173626373626374,0.24972973511749022,0.2693483840422616,0.170584336298622,0.16741770700954375,0.25756347960429593,0.1844035782811293
facebook2,*0.03739872278001775,0.18899865602023874,0.2533261303045476,0.17148185376345704,0.3425947468085187,0.17504387447655692,0.17540499970510248,0.2596005456231561,0.1648456707161743
pm2.5,*0.01051902025177887,0.01711631089217296,0.0824101767143639,0.16283818124951127,0.020371061068105406,0.03322898584721245,0.033733227773868175,0.05917878645711159,0.028212115880835092
bio,*0.010997683831897073,0.0329874998326468,0.07765082538591644,0.24350691949642309,0.020483637321099445,0.025478384662415154,0.02764685353695382,0.019686500622553855,0.02413166902448712
blog,*0.03340060757127278,0.28071381835176823,0.3738981928649322,0.31416684841875686,0.27329685309238194,0.2222957625798411,0.22573812120267958,0.49472542452095336,0.21502866490107495
consumption,0.020505493307586293,0.019336131247615414,*0.011441792741514769,0.324082177701298,0.019528081663798675,0.02036918452997376,0.011538406434683757,0.021124699250169347,0.015118797156405484
video,*0.0384637906045605,0.21469757437030204,0.24681861404880334,0.10445942028770512,0.18922321400756276,0.08387015441489527,0.07592505485148192,0.18112267001734186,0.07136664525517991
gpu,*0.016676240032436816,0.03884553655899445,0.11992498986349508,0.10755093593728883,0.08701851601567778,0.07624425598053791,0.054534143127449655,0.06849287065819704,0.06522334099202595
query,0.03495653008632711,*0.010178122739000274,0.13101863127597357,0.14962488785951972,0.04441835279484457,0.037030484339648936,0.04381441535557405,0.03626288945361226,0.05556740147083378
wave,*0.037965561224489804,0.28248618197278913,0.14811578798185943,0.39229733560090707,0.21477855725623587,0.20762542517006802,0.11811224489795921,0.27728387188208614,0.17875070861678005
air,*0.012108894612888867,0.03525711659583669,0.07720850615198763,0.07178939837028805,0.027011879410380475,0.021316410751940584,0.01920232878623287,0.018261109953045675,0.026311545281014592
year,0.017738804688144122,0.028765667797430644,0.05021429866377864,0.3733640968932543,0.24986030783993984,*0.01569879463585274,0.02112783668147028,0.0338395595049793,0.018389016548976768
