,emqw,single_ensemble,hnn_ensemble,mc_dropout,concrete_dropout,vanilla,vanilla.w,sqr,interval
grid,0.20936662944839615,*0.1667753325389972,0.2129728869219356,0.23974071417570686,0.18827075909941376,0.17380858899409618,0.1851881388144182,0.17714526387925203,0.19719844611225482
naval,0.10261349468184047,*0.06306888902726526,0.08850028164848919,0.2736531009747846,13.498000262621527,0.1360338062197271,0.12719267681059188,0.14828744896787743,0.12306625868763459
appliance,0.8866514953860495,0.8451915463679864,0.9383852458605139,*0.35330882881236314,1.0505978890551604,0.6976882875779975,0.7511706577961246,0.6776549430373248,0.7778669162159833
election,0.08660068711877864,0.051019316056689315,0.0675028767366028,0.11512250350799225,547.4910562277912,0.02408546128189166,0.023862352450330027,*0.016374505854889015,0.024928410257009766
steel,*0.01510820657488118,0.022969211805849134,0.03160941637756918,0.1609577797907876,0.047281005754627216,0.02277854866220996,0.01862690298914673,0.019531506208198508,0.018091602467222807
facebook1,0.2472892750565852,0.3823881690679767,0.40721506251777484,*0.15767553311075572,inf,0.1888251234425564,0.2050245643437516,0.16568403490180494,0.2354343326221416
facebook2,0.23260662203380233,0.40679174755755954,0.45678660087581335,0.191302453984958,3.3598786291972e+73,0.19610744279530276,0.2042598079207712,*0.16615764623211599,0.2027065139083633
pm2.5,0.5435107578109959,0.6566555794786022,0.7182780522931111,*0.3589878108073498,0.8127022100776398,0.49737020945912513,0.5321975485577612,0.4933258270833602,0.5326748267980309
bio,0.8051287813067743,0.9193414852459586,0.9778703556673765,*0.3455342037405247,7520.803208541232,0.7322564521003184,0.7361519687505751,0.7780627753061905,0.7634712753171519
blog,0.4259562352264069,0.8743111809319986,1.0762245912635133,0.25141498268618606,inf,0.23674808625270716,0.27440301803415873,*0.007119246035072012,0.284888593468425
consumption,0.9098499863088829,0.9576749808898205,0.9842246753526013,*0.25517342633609985,1.0023806659054681,0.9157312739789034,0.9487604407993324,0.9876523368058384,0.9528658756031966
video,0.6071819221682256,0.8650669618751261,0.8981643727890664,*0.1907094208402984,11313802.373532156,0.5330230821776667,0.5253591438219959,0.5012713522288471,0.5434251912379922
gpu,0.058148032694131886,0.052623125254184513,0.06085271709261662,0.1556373123078159,0.2617977346822661,0.04094144862189629,*0.03529909217698578,0.051350864952209606,0.046779167633048915
query,0.09444312976225466,0.10290921497489312,0.11961852928555639,0.2184722352908649,0.17367501368428154,*0.08157716688982296,0.09299039051088838,0.0941114253629026,0.08640976879743806
wave,0.12090103765485403,*0.00016494877741324459,0.05456061477820792,0.16455863916265928,0.08381198374040094,0.004311754519745607,0.004991492335565476,0.004654287458957087,0.0049174366708758495
air,0.29898548383637574,0.29760927860838726,0.3075725156669805,*0.21707635432056682,0.3558628348171775,0.2374922979753278,0.24532408728777264,0.2576889224158303,0.246160695206922
year,1.0631589755426074,1.1227584486995474,1.1644873012911297,*0.210319100409254,4.562236473486879e+28,1.0558926878745853,1.0505346216057863,0.934226906020859,1.01933800236883
