,emqw,single_ensemble,hnn_ensemble,mc_dropout,concrete_dropout,vanilla,vanilla.w,sqr,interval
grid,0.047224999999999996,0.10877499999999998,0.13137499999999996,*0.017400000000000016,0.029924999999999997,0.07022500000000001,0.0551,0.05685,0.059824999999999996
naval,0.026556346878927523,*0.024637620444072035,0.17894847088395477,0.18531629660661916,0.12561793045664013,0.1511101801424382,0.16232509426057812,0.11933808127356516,0.14793464599916212
appliance,*0.019982265011401084,0.026625285026602507,0.08017481631618951,0.32181403597669117,0.06181910311629084,0.05818343045350899,0.032850266024829,0.08969597162401824,0.03302254877121866
election,0.14692307692307693,*0.06656733656733653,0.2308154308154308,0.1849041349041349,0.19177639177639177,0.3271540771540772,0.25686994686994685,0.5256664356664357,0.260979440979441
steel,0.10590753424657533,*0.06059503424657531,0.23068635844748858,0.20466609589041096,0.1973102168949772,0.13934931506849316,0.13747574200913243,0.155386700913242,0.11763413242009131
facebook1,*0.034322344322344336,0.13340659340659342,0.1864041514041514,0.36872405372405376,0.1817826617826618,0.1789133089133089,0.08708180708180709,0.3924481074481075,0.15147741147741148
facebook2,*0.03617044825677922,0.14690094078583288,0.19212322449732522,0.2306198118428334,0.2283404045993974,0.10832503228186682,0.1022037754411855,0.39279653200516507,0.10248908565455328
pm2.5,*0.01741858237547892,0.017978927203065136,0.1056573275862069,0.24019396551724137,0.03128591954022989,0.045423850574712654,0.03170617816091955,0.06640924329501915,0.032112068965517236
bio,*0.013046140389241212,0.026104307894161387,0.07329980319265253,0.35704132954296963,0.03552372621911219,0.03279029083752461,0.03356221298928493,0.017183468182812172,0.023420074349442377
blog,*0.04426526717557252,0.1792891221374046,0.22131679389312975,0.46604961832061076,0.2153482824427481,0.18781011450381677,0.2221517175572519,0.7419417938931299,0.10102099236641222
consumption,0.02861026325829836,0.021921022510492178,0.0197472338801984,0.4819677603967952,0.022057420831743602,0.01967665013353682,*0.011453643647462796,0.029386684471575726,0.014103395650515077
video,*0.04702333357563424,0.14148433524751036,0.15603692665552082,0.14363814785200263,0.13771534491531584,0.06117031329504978,0.057665915533910005,0.265195900268954,0.06690194083012284
gpu,*0.013405422185430477,0.027074710264900603,0.1603683774834437,0.13047909768211918,0.09256519039735098,0.05751241721854303,0.04509002483443711,0.050905422185430454,0.04701986754966889
query,0.024109935199779886,*0.007564612574745416,0.155739448072256,0.15386299382021068,0.05308489079036255,0.04925442217718731,0.03430783857489553,0.04858140058545371,0.08552878480822637
wave,*0.046102430555555546,0.20688802083333332,0.16254774305555555,0.2499826388888889,0.21667100694444444,0.15980902777777775,0.0759288194444444,0.23862847222222225,0.14829427083333335
air,0.019566668230853013,0.037964107136339714,0.08875063219199866,0.12805211869046318,0.03620961140396159,0.011075743118883374,0.013501014114175175,*0.01079158259164828,0.030821771388945374
year,0.019476623472385546,0.04039616102579627,0.06783985904615539,0.556006061946731,0.19273556018674834,*0.014263426901537979,0.02594470511074115,0.04583716571002783,0.01949952071035771
