,emq0,emq,emqw
grid,0.215205136388375,*0.20264527383198097,0.20936662944839615
naval,0.19389302661387506,*0.09129382044584197,0.10261349468184047
appliance,0.8041109126897963,*0.7822930041708811,0.8866514953860495
election,0.08424293103949085,*0.06343383579559678,0.08660068711877864
steel,0.022384575261005346,*0.014531609489243268,0.01510820657488118
facebook1,0.21627318877193002,*0.20701952732151369,0.2472892750565852
facebook2,0.2267956944850797,*0.1950031483749614,0.23260662203380233
pm2.5,0.5177091669079895,*0.5073684916646453,0.5435107578109959
bio,*0.6990538168289687,0.7007703920450107,0.8051287813067743
blog,0.4503569061128278,*0.36490286234796315,0.4259562352264069
consumption,0.9263255795902385,*0.9062352862668401,0.9098499863088829
video,*0.3242950259313174,0.5192196927206967,0.6071819221682256
gpu,0.061952154754320046,0.0582481743230104,*0.058148032694131886
query,*0.09346875662126049,0.09346875662126049,0.09444312976225466
wave,*0.10003019983084253,0.10003019983084253,0.12090103765485403
air,0.2825343456722972,*0.28060086002437534,0.29898548383637574
year,1.0759591150162808,*1.0381337506610344,1.0631589755426074
