,emq0,emq,emqw
grid,0.07207500000000001,0.08485000000000001,*0.047224999999999996
naval,0.18940092165898617,*0.023037285295349826,0.026556346878927523
appliance,0.02974664302001521,0.03593108690144415,*0.019982265011401084
election,0.18596673596673596,0.18631323631323632,*0.14692307692307693
steel,0.18929794520547943,0.1141695205479452,*0.10590753424657533
facebook1,0.07607448107448109,0.04741758241758244,*0.034322344322344336
facebook2,0.07420279161286354,*0.0343491360757548,0.03617044825677922
pm2.5,0.02605483716475096,0.03139248084291188,*0.01741858237547892
bio,0.0257019462059917,0.03294117647058824,*0.013046140389241212
blog,0.09322041984732825,*0.03230438931297712,0.04426526717557252
consumption,*0.018714231209462036,0.021819916062571526,0.02861026325829836
video,0.08305953332848733,0.0633917278476412,*0.04702333357563424
gpu,0.034457781456953634,0.032884933774834424,*0.013405422185430477
query,0.03403888013210238,0.03403888013210238,*0.024109935199779886
wave,*0.032912326388888885,0.032912326388888885,0.046102430555555546
air,0.021425443055794524,*0.013158717992835994,0.019566668230853013
year,*0.006821824560586498,0.017224350242361464,0.019476623472385546
