,emqw,gbdt,lgbm
grid,*0.20936662944839615,0.39101204176708426,0.34065670744576104
naval,*0.10261349468184047,0.3985371956357774,0.2414813767770676
appliance,0.8866514953860495,0.9428631367136662,*0.8060492877506622
election,*0.08660068711877864,0.09565889794877469,0.10269877032813188
steel,*0.01510820657488118,0.08609983145079445,0.059450604146967026
facebook1,0.2472892750565852,0.18391128021172543,*0.18054616855017053
facebook2,0.23260662203380233,0.1780923529165604,*0.1728717077659551
pm2.5,*0.5435107578109959,0.8175757152732123,0.7461376734279422
bio,*0.8051287813067743,1.090660191373455,0.9775997845576981
blog,0.4259562352264069,0.22094991748053933,*0.21575045953178212
consumption,*0.9098499863088829,0.9770676385448318,0.9149751560123496
video,0.6071819221682256,0.6229384826099864,*0.5771847813473302
gpu,*0.058148032694131886,0.30594705344217954,0.22133074636532923
query,*0.09444312976225466,0.18941987142592234,0.1497800143111841
wave,0.12090103765485403,0.04010836112565597,*0.028499144855388896
air,*0.29898548383637574,0.32911469196931314,0.3091944550443345
year,1.0631589755426074,1.07005516603156,*1.0443382803664731
